,Valid,Time,Latitude,Longitude,Altitude,Speed,Address,Attributes,convertion
57,True,2023-09-13 23:50:44,16.9653416,82.2283816,24,7.0 km/h,"16.965342°, 82.228382°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=2.7  hdop=2.5  power=0.0  battery=3.658  io68=0  operator=40449  odometer=553  distance=2.45  totalDistance=1.838480376E7,7.0
58,True,2023-09-13 23:50:54,16.965365,82.22837,23,0.0 km/h,"16.965365°, 82.228370°",priority=0  sat=4  event=240  ignition=false  motion=false  rssi=4  io200=0  io69=1  pdop=2.7  hdop=2.5  power=0.0  battery=3.665  io68=0  operator=40449  odometer=560  distance=2.88  totalDistance=1.838480664E7,0.0
59,False,2023-09-14 11:05:37,0.0,0.0,0,0.0 km/h,"0.000000°, 0.000000°",priority=0  sat=0  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=2  pdop=0.0  hdop=0.0  power=0.0  battery=3.495  io68=0  operator=40449  odometer=23  distance=9191487.25  totalDistance=2.757629389E7,0.0
60,False,2023-09-14 11:06:48,0.0,0.0,0,0.0 km/h,"0.000000°, 0.000000°",priority=0  sat=0  event=240  ignition=false  motion=false  rssi=4  io200=0  io69=2  pdop=0.0  hdop=0.0  power=0.0  battery=3.704  io68=40  operator=40449  odometer=23  distance=0.0  totalDistance=2.757629389E7,0.0
61,False,2023-09-14 11:12:30,0.0,0.0,0,0.0 km/h,"0.000000°, 0.000000°",priority=0  sat=0  event=0  ignition=false  motion=false  rssi=3  io200=0  io69=2  pdop=0.0  hdop=0.0  power=0.0  battery=3.7760000000000002  io68=40  operator=40449  odometer=23  distance=0.0  totalDistance=2.757629389E7,0.0
62,False,2023-09-14 11:12:30,0.0,0.0,0,0.0 km/h,"0.000000°, 0.000000°",priority=0  sat=0  event=240  ignition=false  motion=true  rssi=3  io200=0  io69=2  pdop=0.0  hdop=0.0  power=0.0  battery=3.777  io68=40  operator=40449  odometer=23  distance=0.0  totalDistance=2.757629389E7,0.0
63,False,2023-09-14 11:13:44,0.0,0.0,0,0.0 km/h,"0.000000°, 0.000000°",priority=0  sat=0  event=240  ignition=false  motion=true  rssi=0  io200=0  io69=2  pdop=0.0  hdop=0.0  power=0.0  battery=0.0  io68=0  operator=0  odometer=23  distance=0.0  totalDistance=2.757629389E7,0.0
64,False,2023-09-14 11:16:20,0.0,0.0,0,0.0 km/h,"0.000000°, 0.000000°",priority=0  sat=0  event=240  ignition=false  motion=false  rssi=4  io200=0  io69=2  pdop=0.0  hdop=0.0  power=0.0  battery=3.8000000000000003  io68=40  operator=40449  odometer=23  distance=0.0  totalDistance=2.757629389E7,0.0
65,False,2023-09-14 11:17:24,0.0,0.0,0,0.0 km/h,"0.000000°, 0.000000°",priority=0  sat=0  event=240  ignition=false  motion=true  rssi=4  io200=0  io69=2  pdop=0.0  hdop=0.0  power=0.0  battery=3.809  io68=40  operator=40449  odometer=23  distance=0.0  totalDistance=2.757629389E7,0.0
66,False,2023-09-14 11:18:28,0.0,0.0,0,0.0 km/h,"0.000000°, 0.000000°",priority=0  sat=0  event=240  ignition=false  motion=false  rssi=4  io200=0  io69=2  pdop=0.0  hdop=0.0  power=0.0  battery=3.818  io68=40  operator=40449  odometer=23  distance=0.0  totalDistance=2.757629389E7,0.0
67,False,2023-09-14 11:19:10,0.0,0.0,0,0.0 km/h,"0.000000°, 0.000000°",priority=0  sat=0  event=240  ignition=false  motion=true  rssi=4  io200=0  io69=2  pdop=0.0  hdop=0.0  power=0.0  battery=3.823  io68=40  operator=40449  odometer=23  distance=0.0  totalDistance=2.757629389E7,0.0
